pathway,cohort_id,effect_size,se
regulation of angiogenesis,GSE107994,0.7002380675854637,0.06329544815395344
regulation of angiogenesis,GSE193777,0.5927623759092991,0.11412832880462868
regulation of vasculature development,GSE107994,0.7002380675854637,0.06329544815395344
regulation of vasculature development,GSE193777,0.5927623759092991,0.11412832880462868
angiogenesis,GSE107994,0.7514848122445346,0.06995282305330212
angiogenesis,GSE193777,0.6486366199671667,0.11799141040939212
blood vessel morphogenesis,GSE107994,0.7514848122445346,0.06995282305330212
blood vessel morphogenesis,GSE193777,0.6486366199671667,0.11799141040939212
negative regulation of angiogenesis,GSE107994,0.5360819939044579,0.07452745848900522
negative regulation of angiogenesis,GSE193777,0.4399964635907628,0.11512700835286438
negative regulation of vasculature development,GSE107994,0.5360819939044579,0.07452745848900522
negative regulation of vasculature development,GSE193777,0.4399964635907628,0.11512700835286438
negative regulation of blood vessel morphogenesis,GSE107994,0.5360819939044579,0.07452745848900522
negative regulation of blood vessel morphogenesis,GSE193777,0.4399964635907628,0.11512700835286438
blood vessel development,GSE107994,0.7514848122445346,0.06995282305330212
blood vessel development,GSE193777,0.6486366199671667,0.11799141040939212
