pathway,posterior_mean,posterior_sd,ci95_low,ci95_high
angiogenesis,0.7247366232963413,0.0601726658133503,0.6067981983021746,0.8426750482905079
blood vessel development,0.7247366232963413,0.0601726658133503,0.6067981983021746,0.8426750482905079
blood vessel morphogenesis,0.7247366232963413,0.0601726658133503,0.6067981983021746,0.8426750482905079
regulation of angiogenesis,0.6749567308156852,0.055352641452567915,0.566465553568652,0.7834479080627184
regulation of vasculature development,0.6749567308156852,0.055352641452567915,0.566465553568652,0.7834479080627184
negative regulation of angiogenesis,0.5077070616373732,0.06256272265407928,0.3850841252353778,0.6303299980393686
negative regulation of blood vessel morphogenesis,0.5077070616373732,0.06256272265407928,0.3850841252353778,0.6303299980393686
negative regulation of vasculature development,0.5077070616373732,0.06256272265407928,0.3850841252353778,0.6303299980393686
