gene,posterior_mean,posterior_sd,ci95_low,ci95_high,post_prob_positive,tau2,n_cohorts,posterior_abs_mean
SPTB,0.9816941396055204,0.0576390417704235,0.8687216177354904,1.0946666614755505,1.0,0.0,2,0.9816941396055204
HAUS4,0.9699536868155141,0.0576390417704235,0.856981164945484,1.0829262086855442,1.0,0.0,2,0.9699536868155141
DHX8,0.9670378667641957,0.09952032427702455,0.7719780311812275,1.1620977023471637,1.0,0.013045323066752369,2,0.9670378667641957
MARCO,0.964110806817603,0.0576390417704235,0.8511382849475729,1.0770833286876331,1.0,0.0,2,0.964110806817603
GLB1,0.9613348141633256,0.08771151137415002,0.7894202518699915,1.1332493764566596,1.0,0.008641043995761925,2,0.9613348141633256
SLC39A11,0.9597914111541063,0.0576390417704235,0.8468188892840762,1.0727639330241363,1.0,0.0,2,0.9597914111541063
TMEM144,0.9596298322024777,0.0576390417704235,0.8466573103324476,1.0726023540725078,1.0,0.0,2,0.9596298322024777
CAP1,0.9544327943141617,0.11516389755762485,0.728711555101217,1.1801540335271063,1.0,0.019746511170475333,2,0.9544327943141617
STS,0.9539307755319353,0.0576390417704235,0.8409582536619052,1.0669032974019654,1.0,0.0,2,0.9539307755319353
CD44,0.9383597951463256,0.0576390417704235,0.8253872732762956,1.0513323170163558,1.0,0.0,2,0.9383597951463256
MPO,0.9250555336624293,0.08814750128402705,0.7522864311457362,1.0978246361791224,1.0,0.0087936098043623,2,0.9250555336624293
TLR8,0.919462831274032,0.06455030097948485,0.7929442413542418,1.0459814211938223,1.0,0.0016536874481165801,2,0.919462831274032
STX12,0.914989527019201,0.10877593074546162,0.7017887027580962,1.1281903512803058,1.0,0.016891064709754423,2,0.914989527019201
USP32,0.9119755907866938,0.0576390417704235,0.7990030689166637,1.024948112656724,1.0,0.0,2,0.9119755907866938
LMNB1,0.9069596400986387,0.0967149158931787,0.7173984049480084,1.096520875249269,1.0,0.011947914947090566,2,0.9069596400986387
IDH1,0.9042487423210462,0.0576390417704235,0.7912762204510162,1.0172212641910763,1.0,0.0,2,0.9042487423210462
