factor,mean_progressor,mean_nonprogressor,ttest_pvalue
Factor1,0.6620087509479795,-0.2691343987498795,5.780016530440134e-11
Factor2,0.5610093087333468,-0.2280738778495382,2.8476625830886076e-09
Factor3,0.30337914518353226,-0.12333638145311827,0.0009160662192176708
