feature,n_ic,n_scheduled,mean_ic,mean_scheduled,delta_ic_minus_scheduled,pvalue,fdr_bh
HP,16,82,-0.05353532094865102,0.28019241839428455,-0.3337277393429356,0.1383402824210839,0.708971481234424
ACSL1,16,82,-0.08160798701373767,0.2493815823733667,-0.33098956938710433,0.14410917793107114,0.708971481234424
FCGR3B,16,82,0.07403584086248645,0.3461396269138695,-0.2721037860513831,0.2213429185639333,0.708971481234424
IRAK3,16,82,-0.18903554949243367,0.1364964945817436,-0.32553204407417724,0.2687056796199945,0.708971481234424
remap_myeloid5,16,82,0.10402838790254562,0.282843899719077,-0.17881551181653135,0.33015952598983955,0.708971481234424
signature25_proxy,16,82,-0.10714781077559506,0.00924237053362153,-0.11639018130921659,0.3873176716725455,0.708971481234424
module_M6_proxy,16,82,-0.0776676191563696,0.04342471793858604,-0.12109233709495565,0.47988182596448015,0.708971481234424
bayesian_core8,16,82,0.05917404250421113,0.2323270472811204,-0.1731530047769093,0.5420948013999547,0.708971481234424
VSIG4,16,82,-0.08752089189002779,0.11095536249757643,-0.19847625438760422,0.59409306449999,0.708971481234424
CCR2,16,82,0.09933057651210149,0.26665673676454676,-0.1673261602524453,0.6445195283949309,0.708971481234424
CD36,16,82,0.257466019856329,0.3605251482244036,-0.10305912836807463,0.745616769730236,0.7456167697302359
