feature,model_type,n_samples,n_subjects,intercept,month_coef,progressor_coef,interaction_coef,month_pvalue,progressor_pvalue,interaction_pvalue,interaction_ci_low,interaction_ci_high,aic,interaction_fdr_bh,feature_group
ACSL1,ols_cluster_subject,248,107,-0.2559841706401319,0.018414676943111698,0.6379191238152728,-0.032971877486520876,0.020088953094022352,0.008827242420767586,0.05672668641788536,-0.06688776103610106,0.000944006063059312,709.6046069491586,0.17597251995856708,gene
FCGR3B,ols_cluster_subject,248,107,-0.35578580016500866,0.023259006282850415,0.762275104203864,-0.029886694038540863,0.01570350617048012,2.7903471749266448e-05,0.06890446766931196,-0.06208865902030011,0.0023152709432183866,699.9692844975783,0.17597251995856708,gene
VSIG4,ols_cluster_subject,248,107,-0.07333330151804208,0.003529434225105801,0.4280856607977598,-0.03030356869314456,0.6342961725013492,0.05647071538643181,0.07541679426795732,-0.06370994380111589,0.0031028064148267698,694.201121661554,0.17597251995856708,gene
IRAK3,ols_cluster_subject,248,107,-0.135447573983789,0.011290341890760981,0.378291911975394,-0.022969613979522588,0.21584200055628966,0.18191980257422224,0.17419847574941438,-0.05610062245734179,0.010161394498296616,708.9061190828467,0.30484733256147517,gene
CCR2,ols_cluster_subject,248,107,-0.2085202343231756,0.0088006445258365,0.5705583646984653,-0.019275565431302086,0.30658530878902746,0.009191778597114269,0.3693666493982716,-0.06136210034185478,0.022810969479250612,690.3514135462963,0.5171133091575802,gene
HP,ols_cluster_subject,248,107,-0.2751145481795336,0.018572398915338868,0.4950439460935708,-0.011954227916168868,0.001946150286164585,0.10154594393327424,0.4988579731591145,-0.04659903172316862,0.022690575890830886,710.3274133892295,0.5820009686856337,gene
CD36,ols_cluster_subject,248,107,-0.20819463215713255,0.0006922637744334326,0.5112796558584165,0.005615892758016284,0.9317308639479199,0.06556987879909187,0.7511116962126714,-0.029087307980567967,0.04031909349660054,689.1737276478763,0.7511116962126714,gene
