gene,module
RPL29,M5
RPL3,M5
RPL30,M5
RPL32P3,M5
RPL34P18,M5
RPL35P1,M5
RPL36AL,M5
RPL37,M5
RPL3P4,M5
RPL5P1,M5
RPL5P4,M5
RPL7AP20,M5
RPL7P23,M5
RPL7P32,M5
RPP30,M5
RPS10P13,M5
RPS13P2,M5
RPS17,M5
RPS2,M5
RPS21,M5
RPS24P19,M5
RPS27AP16,M5
RPS27P29,M5
RPS28,M5
RPS2P29,M5
RPS2P7,M5
RPS3,M5
RPS3A,M5
RPS3AP6,M5
RPS3P3,M5
RPS4X,M5
RPS6,M5
RPS6KL1,M5
RPS9,M5
RPSAP18,M5
RPSAP54,M5
RPSAP8,M5
RPUSD3,M5
RRAGC,M5
RRAS2,M5
RRN3,M5
RRN3P1,M5
RRP1,M5
RRP8,M5
RRP9,M5
RSRC2,M5
RSRP1,M5
RTKN2,M5
RTL6,M5
RTTN,M5
RUNDC1,M5
RWDD2B,M5
RWDD3,M5
SACK1H,M5
SACM1L,M5
SAP130,M5
SAP18,M5
SARS1,M5
SASS6,M5
SBNO1,M5
SCAF11,M5
SCAF8,M5
SCAMP1,M5
SCAND2P,M5
SCART1,M5
SCD,M5
SCD5,M5
SCGB3A2,M5
SCML1,M5
SCRIB,M5
SCX,M5
SCYL3,M5
SDC1,M5
SDHA,M5
SDHAP3,M5
SEC11C,M5
SEC14L2,M5
SEC23IP,M5
SEC63,M5
SELENOI,M5
SELENOM,M5
SELENOO,M5
SELENOW,M5
SEMA3C,M5
SEMA6A-AS1,M5
SEPSECS,M5
SEPTIN1,M5
SEPTIN14P13,M5
SEPTIN7P2,M5
SEPTIN9,M5
SERPINB9,M5
SERPINB9P1,M5
SERTAD2,M5
SETD1A,M5
SETD5,M5
SETP14,M5
SF3A2,M5
SF3B1,M5
SFRP5,M5
SFSWAP,M5
SFXN1,M5
SGCB,M5
SGF29,M5
SH3BP5-AS1,M5
SH3YL1,M5
SHPRH,M5
SIGLEC8,M5
SIPA1L3,M5
SIRPG,M5
SIRT1,M5
SIT1,M5
SKAP1,M5
SKIL,M5
SKP1,M5
SLC10A3,M5
SLC12A6,M5
SLC15A4,M5
SLC16A13,M5
SLC16A7,M5
SLC18A2,M5
SLC19A2,M5
SLC20A1-DT,M5
SLC25A14,M5
SLC25A15,M5
SLC25A38,M5
SLC25A4,M5
SLC25A42,M5
SLC25A6,M5
SLC27A3,M5
SLC27A5,M5
SLC2A4RG,M5
SLC30A5,M5
SLC35D2,M5
SLC35D4,M5
SLC35E2B,M5
SLC35G1,M5
SLC39A10,M5
SLC39A4,M5
SLC45A3,M5
SLC4A3,M5
SLC5A2,M5
SLC6A16,M5
SLC71A1,M5
SLC71A2,M5
SLC7A6,M5
SLC8A1,M5
SLC9A3-AS1,M5
SLFN12,M5
SLFN13,M5
SLU7,M5
SLX9,M5
SMARCE1,M5
SMG1P3,M5
SMG9,M5
SMIM15,M5
SMIM30,M5
SMIM35,M5
SMIM7,M5
SMKR1,M5
SMPD4,M5
SMS,M5
SNAP23,M5
SNAPC1,M5
SNAPC4,M5
SNAPIN,M5
SNHG29,M5
SNHG32,M5
SNHG5,M5
SNORD14A,M5
SNRNP200,M5
SNRNP70,M5
SNRPA1,M5
SNRPD3,M5
SNTA1,M5
SNX13,M5
SNX15,M5
SNX8,M5
SNX9,M5
SOAT1,M5
SOCS2,M5
SOCS2-AS1,M5
SOCS5,M5
SOS1,M5
SOX4,M5
SPAG9,M5
SPART,M5
SPATC1L,M5
SPATS2,M5
SPDL1,M5
SPEN,M5
SPICE1,M5
SPIN1,M5
SPINT2,M5
SPMIP4,M5
SPPL2B,M5
SPRED1,M5
SPRED2,M5
SPRING1,M5
SPRY3,M5
SPSB1,M5
SPTSSA,M5
SREK1,M5
SRP14,M5
SRP19,M5
SRP72,M5
SRSF3,M5
SRSF4,M5
SRSF7,M5
SSBP1,M5
SSBP2,M5
SSPN,M5
SSR2,M5
ST13,M5
ST6GALNAC3,M5
STAG2,M5
STAG3,M5
STAG3L2,M5
STAG3L5P,M5
STAMBP,M5
STAU1,M5
STIL,M5
STK24,M5
STK25,M5
STMP1,M5
STX12,M5
STX18,M5
STX18-AS1,M5
STX2,M5
STX6,M5
SUCO,M5
SUMF2,M5
SUMO2,M5
SUV39H1,M5
SVIL,M5
SYNCRIP,M5
SYNE3-AS1,M5
SYNGR1,M5
SYNPO,M5
SYPL1,M5
SYS1,M5
SYT11,M5
TADA2A,M5
TAF1A,M5
TAF1C,M5
TAF6,M5
TAF9,M5
TAGAP-AS1,M5
TAP1,M5
TAPT1-AS1,M5
TASOR,M5
TATDN2,M5
TBC1D22A-DT,M5
TBC1D23,M5
TBC1D31,M5
TBC1D3D,M5
TBC1D3G,M5
TBC1D3L,M5
TBC1D5,M5
TBCA,M5
TBCCD1,M5
TBRG4,M5
TC2N,M5
TCAF2,M5
TCEA1P2,M5
TCF20,M5
TCFL5,M5
TCL1A,M5
TCL6,M5
TDRP,M5
TECR,M5
TEDC1,M5
TENM1,M5
TEPSIN,M5
TES,M5
TEX264,M5
TFAP4,M5
TFPT,M5
TGFBR3,M5
TGIF1,M5
THAP1,M5
THAP2,M5
THAP6,M5
THBS4,M5
THEMIS,M5
THNSL1,M5
TIA1,M5
TIFAB,M5
TIGD2,M5
TIGIT,M5
TIMM21,M5
TIMM23B,M5
TIMM8B,M5
TM2D2,M5
TM9SF1,M5
TMCO1,M5
TMCO4,M5
TMED7,M5
TMEM106C,M5
TMEM121,M5
TMEM147,M5
TMEM160,M5
TMEM161A,M5
TMEM161B,M5
TMEM170A,M5
TMEM175,M5
TMEM183A,M5
TMEM186,M5
TMEM204,M5
TMEM238,M5
TMEM267,M5
TMEM273,M5
TMEM42,M5
TMEM44-AS1,M5
TMEM65,M5
TMEM68,M5
TMEM70,M5
TMEM9,M5
TMEM9B-AS1,M5
TMIE,M5
TMPO-AS1,M5
TMSB4XP4,M5
TMSB4Y,M5
TMUB1,M5
TMX1,M5
TNFRSF10A,M5
TNFRSF21,M5
TNIK,M5
TNKS2,M5
TNRC6B,M5
TOE1,M5
TOGARAM1,M5
TOMM40,M5
TOMM70,M5
TOP2A,M5
TOP3A,M5
TOPBP1,M5
TP53INP1,M5
TP53RK,M5
TPD52,M5
TPP2,M5
TPRA1,M5
TPT1,M5
TRAF1,M5
TRAF3IP3,M5
TRAF6,M5
TRAM2-AS1,M5
TRAPPC10,M5
TRAPPC13,M5
TRAPPC2B,M5
TRAPPC4,M5
TRAV14DV4,M5
TRAV16,M5
TRAV19,M5
TRAV26-1,M5
TRAV29DV5,M5
TRAV41,M5
TRAV8-2,M5
TRAV8-6,M5
TRAV9-2,M5
TRBJ1-5,M5
TRBJ1-6,M5
TRBJ2-2P,M5
TRBV12-3,M5
TRBV13,M5
TRBV15,M5
TRBV18,M5
TRBV5-4,M5
TRBV5-6,M5
TRBV6-2,M5
TRBV6-4,M5
TRBV7-3,M5
TREML5P,M5
TRGC1,M5
TRGV4,M5
TRGV5P,M5
TRGV8,M5
TRGV9,M5
TRIM10,M5
TRIM23,M5
TRIM28,M5
TRIM52,M5
TRIP10,M5
TRMT112P6,M5
TRMT13,M5
TRMT2A,M5
TRMU,M5
TROAP,M5
TRPS1,M5
TRPT1,M5
TRRAP,M5
TRUB1,M5
TSC2,M5
TSC22D1-AS1,M5
TSC22D2,M5
TSIX,M5
TSPAN18,M5
TSPYL5,M5
TSR1,M5
TSR2,M5
TTC21B,M5
TTC28-AS1,M5
TTC32,M5
TTC33,M5
TTC38,M5
TTC39C-AS1,M5
TTLL5,M5
TTN-AS1,M5
TTPAL,M5
TUBG2,M5
TUBGCP5,M5
TUBGCP6,M5
TULP3,M5
TVP23C,M5
TWF1,M5
TXK,M5
TXLNA,M5
TXNDC17,M5
TXNRD1,M5
TYW5,M5
UBA3,M5
UBAP2L,M5
UBE2A,M5
UBE2D2,M5
UBE2E1,M5
UBE2E2,M5
UBE2G1,M5
UBE2G2,M5
UBE2V1P2,M5
UBE3C,M5
UBL3,M5
UBL7-DT,M5
UBP1,M5
UBTD2,M5
UBXN10,M5
UCKL1,M5
UEVLD,M5
UFL1,M5
UGT2B11-AS1,M5
ULK3,M5
UPF3B,M5
URB1,M5
USP1,M5
USP20,M5
USP42,M5
USP45,M5
USP6NL,M5
USP9Y,M5
UST,M5
UTP11,M5
UTP14C,M5
UTP6,M5
UTY,M5
UXT,M5
VAMP1,M5
VAMP4,M5
VASH1-AS1,M5
VAT1,M5
VCPIP1,M5
VDAC3,M5
VEZF1,M5
VLDLR,M5
VMAC,M5
VPS26A,M5
VPS37A,M5
VTA1,M5
WASL,M5
WDR25,M5
WDR4,M5
WDR6,M5
WDR73,M5
WDR74,M5
WDR82,M5
WDSUB1,M5
WEE2-AS1,M5
WHAMM,M5
WHAMMP2,M5
WNT10A,M5
WNT7A,M5
WRNIP1,M5
WWC2,M5
WWP1,M5
XCL2,M5
XKR6,M5
XRCC6,M5
YARS2,M5
YBX1P10,M5
YBX1P2,M5
YIPF6,M5
YJU2B,M5
YTHDC1,M5
YTHDF1,M5
YWHAG,M5
YY1,M5
ZAP70,M5
ZBTB1,M5
ZBTB10,M5
ZBTB11,M5
ZBTB20,M5
ZBTB24,M5
ZBTB37,M5
ZBTB39,M5
ZC2HC1A,M5
ZC3H12D,M5
ZC3H18,M5
ZC3HC1,M5
ZCCHC18,M5
ZDHHC11B,M5
ZDHHC14,M5
ZEB2,M5
ZFAND2A,M5
ZFAND2A-DT,M5
ZFP30,M5
ZFP36L2,M5
ZFP62,M5
ZFPM1,M5
ZFY,M5
ZHX3,M5
ZIK1,M5
ZKSCAN4,M5
ZMAT1,M5
ZMYM6,M5
ZNF100,M5
ZNF141,M5
ZNF143,M5
ZNF143-AS1,M5
ZNF148,M5
ZNF180,M5
ZNF189,M5
ZNF212,M5
ZNF217,M5
ZNF227,M5
ZNF230,M5
ZNF232-AS1,M5
ZNF235,M5
ZNF239,M5
ZNF253,M5
ZNF254,M5
ZNF264,M5
ZNF268,M5
ZNF271P,M5
ZNF280C,M5
ZNF281,M5
ZNF285,M5
ZNF30,M5
ZNF300,M5
ZNF302,M5
ZNF304,M5
ZNF317,M5
ZNF318,M5
ZNF322,M5
ZNF331,M5
ZNF335,M5
ZNF337-AS1,M5
ZNF354B,M5
ZNF367,M5
ZNF37A,M5
ZNF398,M5
ZNF41,M5
ZNF425,M5
ZNF426,M5
ZNF432,M5
ZNF44,M5
ZNF440,M5
ZNF444,M5
ZNF449,M5
ZNF45,M5
ZNF470,M5
ZNF473,M5
ZNF502,M5
ZNF510,M5
ZNF514,M5
ZNF526,M5
ZNF529,M5
ZNF549,M5
ZNF550,M5
ZNF561,M5
ZNF566-AS1,M5
ZNF57,M5
ZNF577,M5
ZNF582,M5
ZNF582-DT,M5
ZNF585B,M5
ZNF589,M5
ZNF594-DT,M5
ZNF595,M5
ZNF606-AS1,M5
ZNF607,M5
ZNF624,M5
ZNF639,M5
ZNF649,M5
ZNF665,M5
ZNF677,M5
ZNF678,M5
ZNF681,M5
ZNF691,M5
ZNF697,M5
ZNF699,M5
ZNF701,M5
ZNF706,M5
ZNF731P,M5
ZNF738,M5
ZNF749,M5
ZNF75A,M5
ZNF771,M5
ZNF775,M5
ZNF782,M5
ZNF793,M5
ZNF853,M5
ZNF860,M5
ZNF879,M5
ZNF891,M5
ZNHIT1,M5
ZNHIT2,M5
ZSCAN25,M5
ZSCAN5A,M5
ZSCAN9,M5
ZSWIM6,M5
ZZZ3,M5
ABHD5,M6
ABLIM3,M6
ACO2,M6
ACOT9,M6
ACRBP,M6
ACSS3,M6
ACTBP8,M6
ACTG1,M6
ACTR1A,M6
ACVRL1,M6
ADAMTS2,M6
ADAMTSL4-AS2,M6
ADCY3,M6
ADCY4,M6
ADGRE2,M6
ADGRE3,M6
ADGRE5,M6
ADM2,M6
ADPRS,M6
ADRA2A,M6
AGAP2,M6
AGPAT2,M6
AGTRAP,M6
AK4,M6
AKAP19,M6
AKIRIN2,M6
ALDH4A1,M6
ALOX15B,M6
ALPL,M6
AMN1-AS1,M6
ANAPC1P4,M6
ANK1,M6
ANKFY1,M6
ANKHD1,M6
ANKRD9,M6
ANP32CP,M6
ANXA2,M6
ANXA2R-AS1,M6
ANXA4,M6
APCDD1,M6
APLP2,M6
APOBEC3G,M6
APOBR,M6
APOL4,M6
ARAP1-AS1,M6
ARAP3,M6
ARG1,M6
ARG2,M6
ARHGAP27P1-BPTFP1-KPNA2P3,M6
ARHGAP30,M6
ARHGEF10L,M6
ARHGEF2,M6
ARL3,M6
ARL8A,M6
ARPC3P3,M6
ARSA,M6
ASAP1-IT2,M6
ASF1B,M6
ASH2L,M6
ASPHD2,M6
ATF5,M6
ATP5F1B,M6
ATP5MGP1,M6
ATP6V0D1-DT,M6
ATP6V1F,M6
ATP6V1H,M6
ATXN1,M6
ATXN3,M6
ATXN7L3,M6
B3GNT8,M6
BASP1,M6
BATF2,M6
BATF3,M6
BAZ2A,M6
BBC3,M6
BCL3,M6
BCORL1,M6
BIN3,M6
BLVRB,M6
BMX,M6
BPI,M6
BRD4,M6
BRD8,M6
BSG,M6
BSG-AS1,M6
BTBD19,M6
BTG2-DT,M6
BTK,M6
BTN3A3,M6
BUD31,M6
C19ORF38,M6
C1ORF116,M6
C1QB,M6
C20ORF204,M6
C2CD2L,M6
C3AR1,M6
CA4,M6
CA5BP1,M6
CABP5,M6
CALD1,M6
CALM3,M6
CAPN1-AS1,M6
CAPZB,M6
CARD17P,M6
CARD6,M6
CASC3,M6
CASP10,M6
CATIP,M6
CATSPERG,M6
CAVIN1,M6
CC2D1A,M6
CCDC13,M6
CCDC159,M6
CCDC30,M6
CCDC71L,M6
CCDC9,M6
CCDC97,M6
CCRL2,M6
CD36,M6
CD44,M6
CD63,M6
CD86,M6
CDK11A,M6
CEACAM6,M6
CENPBD2P,M6
CFLAR-AS1,M6
CHD4,M6
CHST11,M6
CHST13,M6
CHST7,M6
CHST8,M6
CIC,M6
CKLF,M6
CLDN23,M6
CLDN5,M6
CLMN,M6
CLN3,M6
CLTA,M6
CLTB,M6
CMBL,M6
COASY,M6
COLGALT1,M6
COPS7A,M6
COX6A1P2,M6
CR1,M6
CR1L,M6
CRACDL,M6
CRISP3,M6
CRTC2,M6
CSF1R,M6
CSK,M6
CSTB,M6
CTDNEP1,M6
CTSA,M6
CUX1,M6
CXCL10,M6
CXCL5,M6
CXCR1,M6
CXCR4,M6
CXORF38,M6
CYBC1,M6
CYBRD1,M6
CYDAER,M6
CYFIP1,M6
CYP26B1,M6
CYP2T1P,M6
CYREN,M6
CYSTM1,M6
CYTOR,M6
DAB2,M6
DAZAP2,M6
DBF4B,M6
DCAF4L1,M6
DCTN6-DT,M6
DDX11L2,M6
DDX23,M6
DDX60,M6
DEFA3,M6
DENND2B,M6
DESI1,M6
DGAT1,M6
DGKZP1,M6
DGLUCY,M6
DHX58,M6
DIAPH1,M6
DICER1-AS1,M6
DLEC1,M6
DNAJB12,M6
DNAJC4,M6
DNAJC5,M6
DOCK8-AS1,M6
DOK3,M6
DRAM1,M6
DUSP13B,M6
DUSP22,M6
DUSP5,M6
DVL3,M6
DYNLL1,M6
DYRK3,M6
E2F1,M6
EDEM2,M6
EFCAB12,M6
EHBP1L1,M6
EIF1,M6
EIF1B,M6
EIF4A1P2,M6
ELAPOR1,M6
ELMO1,M6
ELOVL7,M6
EMC3,M6
EMILIN2,M6
ENKUR,M6
ENSG00000203886,M6
ENSG00000205018,M6
ENSG00000206549,M6
ENSG00000215067,M6
ENSG00000218713,M6
ENSG00000219410,M6
ENSG00000224950,M6
ENSG00000226380,M6
ENSG00000227355,M6
ENSG00000228463,M6
ENSG00000230615,M6
ENSG00000230839,M6
ENSG00000232807,M6
ENSG00000234290,M6
ENSG00000234810,M6
ENSG00000235105,M6
ENSG00000237927,M6
ENSG00000238035,M6
ENSG00000238201,M6
ENSG00000241043,M6
ENSG00000241489,M6
ENSG00000243273,M6
ENSG00000243302,M6
ENSG00000244491,M6
ENSG00000246016,M6
ENSG00000246203,M6
ENSG00000246448,M6
ENSG00000248516,M6
ENSG00000249476,M6
ENSG00000253986,M6
ENSG00000254718,M6
ENSG00000255328,M6
ENSG00000256249,M6
ENSG00000256618,M6
ENSG00000257715,M6
ENSG00000258424,M6
ENSG00000258745,M6
ENSG00000259321,M6
ENSG00000259529,M6
ENSG00000259952,M6
ENSG00000261218,M6
ENSG00000261512,M6
ENSG00000261840,M6
ENSG00000261884,M6
ENSG00000262877,M6
ENSG00000265975,M6
ENSG00000268069,M6
ENSG00000268170,M6
ENSG00000270210,M6
ENSG00000270956,M6
ENSG00000271857,M6
ENSG00000272053,M6
ENSG00000272505,M6
ENSG00000272625,M6
ENSG00000272632,M6
ENSG00000272799,M6
ENSG00000273576,M6
ENSG00000273837,M6
ENSG00000274021,M6
ENSG00000275719,M6
ENSG00000275895,M6
ENSG00000277728,M6
ENSG00000279117,M6
ENSG00000279253,M6
ENSG00000279861,M6
ENSG00000279884,M6
ENSG00000280007,M6
ENSG00000280033,M6
ENSG00000280035,M6
ENSG00000280332,M6
ENSG00000281741,M6
ENSG00000282024,M6
ENSG00000283696,M6
ENTPD2,M6
EPHB1,M6
ERMAP,M6
ESPN,M6
EXOC7,M6
EXT1,M6
F5,M6
FAM174A,M6
FAM20C,M6
FAM53C,M6
FARP1,M6
FBXL18,M6
FBXL9P,M6
FCHO1,M6
FCN1,M6
FDFT1,M6
FGFR1OP2,M6
FIG4,M6
FIP1L1,M6
FKBP15,M6
FKBP9,M6
FLNA,M6
FOSL2,M6
FRAT2,M6
FRMD4A,M6
FSCN1,M6
FSTL3,M6
FTH1,M6
FTH1P5,M6
FTL,M6
FUT4,M6
GABARAPL1,M6
GADD45B,M6
GADD45G,M6
GALK1,M6
GAPDHP65,M6
GAS2L1,M6
GATD3,M6
GBP3,M6
GCA,M6
GET4-AS1,M6
GGCX,M6
GGT1,M6
GID4,M6
GID8,M6
GLA,M6
GLB1,M6
GLRX5,M6
GLUL,M6
GMDS,M6
GNAI2,M6
GNG11,M6
GNG8,M6
GNPDA1,M6
GOLGA5P1,M6
GOLGB1,M6
GP9,M6
GPR108,M6
GPR137,M6
GPR137B,M6
GPR146,M6
GPR27,M6
GPR84,M6
GPRIN1,M6
GRIK5,M6
GRIN2D,M6
GRIN3A,M6
GRK6,M6
GSK3A,M6
GSTO2,M6
GTF2F1,M6
GUSBP11,M6
GYPA,M6
GYPC,M6
H2AC11,M6
H2AC20,M6
H2BC12,M6
H2BC15,M6
H2BC17,M6
H2BC6,M6
H3-3A,M6
HAGH,M6
HAUS4,M6
HDAC7,M6
HERC5,M6
HEXA,M6
HHEX,M6
HLX,M6
HMG20B,M6
HMOX1,M6
HOTAIRM1,M6
HOXA1,M6
HPD,M6
HSD17B1,M6
HSDL2,M6
HSPBAP1,M6
HTRA1,M6
HTRA2,M6
IER2,M6
IER5L,M6
IFIT5,M6
IFITM3,M6
IFITM3P2,M6
IFT20,M6
IFT56,M6
IGF1R,M6
IGF2,M6
IGF2BP2,M6
IGFBP2,M6
IKBKG,M6
INPP5K,M6
INSR,M6
IQCN,M6
ITGA7,M6
ITLN1,M6
JMJD6,M6
JSRP1,M6
KCNAB2,M6
KCNH2,M6
KCNJ15,M6
KCNJ2-AS1,M6
KCNK7,M6
KCNMA1,M6
KCP,M6
KDM7A-DT,M6
KISS1R,M6
KLF1,M6
LCP1,M6
LCP2,M6
LGALS3,M6
LIN37,M6
LINC00173,M6
LINC00671,M6
LINC01011,M6
LINC01232,M6
LINC01303,M6
LINC01503,M6
LINC01506,M6
LINC02019,M6
LINC02035,M6
LINC02218,M6
LINC02470,M6
LINC02555,M6
LINC02656,M6
LINC02757,M6
LINC02972,M6
LINC02976,M6
LINC02977,M6
LOXHD1,M6
LOXL1,M6
LOXL1-AS1,M6
LPCAT3,M6
LRP3,M6
LRRC32-AS1,M6
LRRC4,M6
LRRC51,M6
LRRK2-DT,M6
LRRN1,M6
LRWD1,M6
LSMEM2,M6
LTBP1,M6
LTBP2,M6
LYN,M6
LYVE1,M6
MAMDC4,M6
MANBA,M6
MAOB,M6
MAP1LC3A,M6
MAP3K11,M6
MAP3K20,M6
MAPK7,M6
MAPRE3,M6
MARCHF2,M6
MARK3,M6
MAST3,M6
MBOAT2,M6
MCUR1,M6
MED15,M6
MEF2B,M6
MEIS1,M6
MEPCE,M6
METTL22,M6
METTL25B,M6
MGST1,M6
MICAL2,M6
MIEN1,M6
MIMS2,M6
MIR1244-2,M6
MIR223HG,M6
MIR27A,M6
MIR29B2CHG,M6
MIR4477B,M6
MIR4489,M6
MIR646HG,M6
MKRN1,M6
MME-AS1,M6
MMP1,M6
MMP19,M6
MMP25,M6
MMP25-AS1,M6
MPPE1P2,M6
MS4A14,M6
MS4A4A,M6
MT-ND1,M6
MT-ND2,M6
MT-ND4,M6
MT-RNR1,M6
MT-TQ,M6
MT-TS1,M6
MTCH1,M6
MTCL2,M6
MTF1,M6
MTMR11,M6
MUC1,M6
MX1-AS1,M6
MYL4,M6
MYL9,M6
MYO10,M6
MYO7A,M6
MYPOP,M6
NAMPT,M6
NANS,M6
NAPA-AS1,M6
NARF-IT1,M6
NBPF14,M6
NCF1B,M6
NCOA4,M6
NDST1,M6
NDUFAF3,M6
NEBL,M6
NECTIN2,M6
NEK6,M6
NFE4,M6
NFIX,M6
NFKB2,M6
NHSL1-AS1,M6
NIT1,M6
NKIRAS2,M6
NLRP9P1,M6
NPLOC4,M6
NT5DC4,M6
NTNG2,M6
NUMBL,M6
OAS1,M6
OAZ2,M6
OPLAH,M6
OSM,M6
OSTF1,M6
OXTR,M6
P2RX7,M6
P4HA2,M6
PACS1,M6
PAPLN-AS2,M6
PARP10,M6
PARVB,M6
PCBP1-AS1,M6
PCIF1,M6
PCNX1,M6
PCSK6,M6
PDAP1,M6
PDE1B,M6
PDLIM7,M6
PDXP-DT,M6
PEAR1,M6
PFKFB4,M6
PGRMC1,M6
PHKG1,M6
PI3,M6
PIGS,M6
PIM2,M6
PITPNA,M6
PITPNM1,M6
PITX1-AS1,M6
PIWIL4,M6
PLA2G15,M6
PLBD1,M6
PLCG2,M6
PLEK,M6
PLEKHG3,M6
PLEKHM1P1,M6
PLEKHO1,M6
PLEKHO2,M6
PLIN3,M6
PLOD1,M6
PLVAP,M6
PLXNA2,M6
PMF1,M6
PNKD,M6
POLDIP3,M6
POLR2E,M6
POLR2J,M6
POLR3C,M6
POU2F1,M6
PPIF,M6
PPM1H,M6
PPM1N,M6
PPP1R12B,M6
PPP2R5B,M6
PPP6R3,M6
PRADX,M6
PRAF2,M6
PRCC,M6
PRDX5,M6
PRDX6-AS1,M6
PRKAB1-AS1,M6
PRKACA,M6
PRR14,M6
PRRT4,M6
PRSS36,M6
PSEN1,M6
PSEN2,M6
PSMB10,M6
PSMC1,M6
PSMC3IP,M6
PSMD1,M6
PSMD13,M6
PSMD9,M6
PSRC1,M6
PTAFR,M6
PTCRA,M6
PTGFRN,M6
PTMS,M6
PTPRJ,M6
PTTG1IP,M6
PVR,M6
PXN-AS1,M6
PYURF,M6
QPCT,M6
QSOX1,M6
R3HDM2,M6
RAB1B,M6
RAB27A,M6
RAB35,M6
RAB3A,M6
RALBP1,M6
RAPGEFL1,M6
RASSF4,M6
RBM10,M6
RBPMS2,M6
RCVRN,M6
REEP4,M6
RELA,M6
RELB,M6
RER1,M6
RFNG,M6
RGS14,M6
RHBDD2,M6
RHBDL1,M6
RHOB,M6
RIC8A,M6
RILPL2,M6
RIN1,M6
RIN3,M6
RIPOR1,M6
RN7SKP71,M6
RN7SKP80,M6
RNF11,M6
RNF141,M6
RNF181,M6
RNF185,M6
RNF31,M6
RNF40,M6
RNF41,M6
RPL17P50,M6
RPL23AP7,M6
RPL35P2,M6
RPL7AP43,M6
RPS6KA4,M6
RRAGD,M6
RTCB,M6
RTL5,M6
RTN2,M6
RTP4,M6
S100A11,M6
S100Z,M6
SAMD14,M6
SAP30,M6
SAP30BP,M6
SAT2,M6
SBNO1-AS1,M6
SCAF1,M6
SCAMP2,M6
SCGB1C1,M6
SCN1B,M6
SCYL1,M6
SDC4,M6
SDF4,M6
SDSL,M6
SEC14L1,M6
SEC14L5,M6
SEMA3F-AS1,M6
SEMA4D,M6
SEPTIN4,M6
SERINC2,M6
SERPINB10,M6
SERPINB8,M6
SERPINE1,M6
SERTAD1,M6
SESN2,M6
SF1,M6
SH2B2,M6
SHISA4,M6
SIDT2,M6
SIGLEC11,M6
SIGLEC22P,M6
SIGLEC9,M6
SIPA1L1,M6
SIRAL1,M6
SIRT7,M6
SKP1P1,M6
SLC14A1,M6
SLC18A2-AS1,M6
SLC24A4,M6
SLC25A28,M6
SLC26A6,M6
SLC29A3,M6
SLC31A1,M6
SLC35F6,M6
SLC37A1,M6
SLC38A11,M6
SLC38A4-AS1,M6
SLC38A5,M6
SLC46A1,M6
SLC49A3,M6
SLC51A,M6
SLC9D1,M6
SMIM1,M6
SMOX,M6
SNX12,M6
SP100,M6
SP110,M6
SP140,M6
SPATC1,M6
SPPL3,M6
SPTA1,M6
SPTB,M6
SRA1,M6
SRBD1,M6
SREBF1,M6
SRP54-AS1,M6
SSH1,M6
ST20,M6
ST7,M6
ST7L,M6
STARD3,M6
STAT6,M6
STIMATE,M6
STIMATE-MUSTN1,M6
STK16,M6
STK40,M6
STX11,M6
STX5-DT,M6
SUSD1,M6
SYCE1,M6
TAC4-AS1,M6
TACC3,M6
TACSTD2,M6
TANC2,M6
TATDN3,M6
TBC1D20,M6
TBC1D22A,M6
TBC1D30,M6
TBX19,M6
TCIRG1,M6
TCN1,M6
TEKTIP1,M6
TEPSIN-AS1,M6
TFR2,M6
TG,M6
TGFB1,M6
TGFB1I1,M6
TGFBI,M6
TGM1,M6
THBS3,M6
THEMIS2,M6
THNSL2,M6
TLCD4,M6
TLR1,M6
TMEM158,M6
TMEM176A,M6
TMEM176B,M6
TMEM200B,M6
TMEM240,M6
TMEM255B,M6
TMEM38A,M6
TMEM39B,M6
TMEM80,M6
TMPRSS9,M6
TMT1B,M6
TMTC1,M6
TNFAIP6,M6
TNFRSF10B,M6
TNFSF13,M6
TNFSF13B,M6
TNIP1,M6
TNNT1,M6
TNS2-AS1,M6
TOM1,M6
TOR4A,M6
TPM3,M6
TRABD-AS1,M6
TRANK1,M6
TRAPPC5,M6
TRIM38,M6
TRIM62,M6
TRIM7,M6
TRIM9,M6
TRIOBP,M6
TRPC2,M6
TSHZ3,M6
TSPAN33,M6
TSPAN5,M6
TSPO2,M6
TUBA8,M6
TUBB2A,M6
TYMP,M6
UBA1,M6
UBE2S,M6
UBN1,M6
UBQLN1-AS1,M6
UBTD1,M6
UBXN6,M6
UNC45A,M6
UNKL,M6
UPK3BL3P,M6
UPP1,M6
USP39,M6
VAPA,M6
VASP,M6
VCP,M6
VDR,M6
VPS37B,M6
VPS37C,M6
VPS8,M6
VPS9D1,M6
VSIG4,M6
VWA5A,M6
VWCE,M6
VWF,M6
WARS1,M6
WASH2P,M6
WASH3P,M6
WBP2,M6
WHAMMP3,M6
WIPF2,M6
WNK2,M6
WWP2,M6
XPC,M6
XPO6,M6
YBX3,M6
YIPF1,M6
YPEL3-DT,M6
ZBTB48,M6
ZBTB7B,M6
ZDHHC12,M6
ZDHHC19,M6
ZFPL1,M6
ZNF18,M6
ZNF219,M6
ZNF236-DT,M6
ZNF341,M6
ZNF408,M6
ZNF467,M6
ZNF487,M6
ZNF503,M6
ZNF622,M6
ZNF653,M6
ZNF787,M6
ZRSR2,M6
BSCL2,gray
CASC8,gray
CCND1,gray
COL6A3,gray
DDX11L9,gray
ENSG00000196656,gray
ENSG00000204745,gray
ENSG00000243403,gray
ENSG00000256673,gray
