gene,module
CAPN12,M5
CAPN15,M5
CAPN2,M5
CAPN3,M5
CARD8,M5
CARMIL1,M5
CASP2,M5
CASP3,M5
CASP8AP2,M5
CATSPERB,M5
CBFA2T2,M5
CBLL1,M5
CBLN3,M5
CC2D1B,M5
CCDC107,M5
CCDC12,M5
CCDC120,M5
CCDC142,M5
CCDC163,M5
CCDC167,M5
CCDC170,M5
CCDC7,M5
CCDC77,M5
CCDC88A,M5
CCL3L3,M5
CCL4,M5
CCL4L2,M5
CCNA2,M5
CCNB1IP1,M5
CCNB2,M5
CCSER2,M5
CCT3,M5
CCT4,M5
CCT6P3,M5
CCZ1B,M5
CD101,M5
CD160,M5
CD22,M5
CD24,M5
CD248,M5
CD302,M5
CD3G,M5
CD58,M5
CD70,M5
CD8A,M5
CD8B2,M5
CD96,M5
CD99,M5
CDAN1,M5
CDC20,M5
CDC23,M5
CDC45,M5
CDCA7,M5
CDT1,M5
CEACAM21,M5
CEACAMP3,M5
CECR7,M5
CENATAC,M5
CENPE,M5
CEP164,M5
CEP57,M5
CEP68,M5
CEP78,M5
CEP85,M5
CEP85L,M5
CERT1,M5
CES1,M5
CFAP97,M5
CFDP1,M5
CGRRF1,M5
CHCHD4,M5
CHD1-DT,M5
CHD2,M5
CHD8,M5
CHEK1,M5
CHEK2,M5
CHIC2,M5
CHID1,M5
CHM,M5
CHML,M5
CHMP4A,M5
CHN1,M5
CHP1,M5
CHRM3-AS2,M5
CHST14,M5
CHSY1,M5
CHTF18,M5
CHURC1,M5
CIAO1,M5
CIB2,M5
CIT,M5
CIZ1,M5
CKMT2-AS1,M5
CKS1B,M5
CKS2,M5
CLCC1,M5
CLDN15,M5
CLECL1,M5
CLHC1,M5
CLIC1,M5
CLIC5,M5
CLIP1,M5
CLIP4,M5
CLMB,M5
CLN8-AS1,M5
CLOCK,M5
CLPTM1L,M5
CMTM7,M5
CNOT11,M5
CNTNAP1,M5
CNTNAP2,M5
COA4,M5
COA8,M5
COBLL1,M5
COG2,M5
COIL,M5
COL13A1,M5
COL19A1,M5
COL4A4,M5
COL5A3,M5
COLQ,M5
COMMD1,M5
COMMD3,M5
COPZ2,M5
COQ10B,M5
COX10-DT,M5
COX18,M5
COXFA4,M5
CPA5,M5
CPEB2,M5
CPNE3,M5
CPNE7,M5
CREBL2,M5
CRK,M5
CRKL,M5
CRTAM,M5
CRY1,M5
CRYBB2P1,M5
CRYM,M5
CSDE1,M5
CSF2RB,M5
CSNK1G1,M5
CSNK2A3,M5
CSNK2B,M5
CSTF2,M5
CTBP1-DT,M5
CTNNB1,M5
CUL9,M5
CUTALP,M5
CWC25,M5
CWF19L2,M5
CXCR3,M5
CXXC5,M5
CYB561A3,M5
CYP1B1,M5
CYP2D7,M5
CYP2D8P,M5
CYP2E1,M5
DAAM1,M5
DAGLA,M5
DAP3,M5
DARS1,M5
DBR1,M5
DCAF16,M5
DCAF17,M5
DCAF8,M5
DCAKD,M5
DCLRE1A,M5
DCP2,M5
DCXR,M5
DDB2,M5
DDHD1,M5
DDI2,M5
DDIAS,M5
DDOST,M5
DDR1,M5
DDT,M5
DDTL,M5
DDX11L8,M5
DDX12B,M5
DDX31,M5
DDX3Y,M5
DDX42,M5
DDX5,M5
DDX50,M5
DDX51,M5
DDX54,M5
DDX56,M5
DEAF1,M5
DENND1C,M5
DENND4B,M5
DES,M5
DESI2,M5
DFFB,M5
DGCR8,M5
DGKD,M5
DHCR24,M5
DHRS11,M5
DHRS4,M5
DHX30,M5
DHX36,M5
DHX9,M5
DIABLO,M5
DICER1,M5
DIP2A,M5
DIP2B,M5
DLG1,M5
DMAC1,M5
DMPK,M5
DMWD,M5
DMXL2,M5
DNAAF2,M5
DNAAF9,M5
DNAJB4,M5
DNAJC10,M5
DNAJC17,M5
DNAJC3-DT,M5
DNAJC30,M5
DNASE1L3,M5
DOC2B,M5
DOCK10,M5
DOCK11,M5
DPH7,M5
DPYD,M5
DRC9,M5
DRD4,M5
DSE,M5
DSN1,M5
DSTN,M5
DUS4L,M5
DUSP14,M5
DUSP6,M5
DVL1,M5
DVL2,M5
DYNC2LI1,M5
DYNLL2,M5
DYRK2,M5
EAPP,M5
ECH1,M5
ECT2,M5
EDAR,M5
EDEM3,M5
EEA1,M5
EED,M5
EEF1A1P11,M5
EEF1A1P19,M5
EEF1A1P29,M5
EEF1A1P7,M5
EFCAB7,M5
EFHD2-AS1,M5
EFNA1,M5
EHBP1,M5
EIF2B4,M5
EIF2S1,M5
EIF2S2P4,M5
EIF2S3,M5
EIF3A,M5
EIF3FP3,M5
EIF3G,M5
EIF3H,M5
EIF3K,M5
EIF4A1P10,M5
EIF4BP6,M5
EIF4BP7,M5
EIF4H,M5
EIPR1,M5
ELF1,M5
ELMOD2,M5
ELOA,M5
ELOVL6,M5
ELP2,M5
EMBP1,M5
EMC4,M5
EME2,M5
EML3,M5
EML5,M5
EMP1,M5
ENC1,M5
ENO2,M5
ENSAP2,M5
ENSG00000159239,M5
ENSG00000204282,M5
ENSG00000212978,M5
ENSG00000213080,M5
ENSG00000213280,M5
ENSG00000215447,M5
ENSG00000218175,M5
ENSG00000218426,M5
ENSG00000224114,M5
