module,n_genes,mean_progressor,mean_nonprogressor,delta_progressor_minus_nonprogressor,ttest_pvalue,fdr_bh
M6,854,12.035090104339133,-4.892770276063105,16.927860380402237,1.7577066847104425e-14,3.515413369420885e-14
M5,2113,-6.571259595652761,2.6714933870177116,-9.242752982670472,0.00136587508667933,0.00136587508667933
