cell_type,mean_progressor,mean_nonprogressor,delta_progressor_minus_nonprogressor,ttest_pvalue
Monocyte,0.18345293215958727,0.14796685345146923,0.03548607870811804,2.083377053506385e-14
T_cell,0.15565098385843423,0.18996095264108737,-0.03430996878265313,1.8847973609361536e-12
Platelet,0.17662004131632827,0.14369029190445293,0.03292974941187535,5.550674082386104e-11
B_cell,0.1632057338076609,0.19017358773136997,-0.026967853923709068,3.1779969151658696e-09
NK_cell,0.13842364781406002,0.1686800588829155,-0.030256411068855488,2.4605020384726905e-08
Neutrophil,0.18264666104392938,0.15952825538870488,0.023118405655224494,4.3915018875166297e-07
